CATEG_COD,SUBCAT_COD,ITEMS,W_STAT,P_VALUE,NORMAL
HBA,ORAL,13,0.9099,0.1106,Yes
HBA,PILLBOX,3,0.8583,0.4187,Yes
HBA,PPE,3,0.8310,0.3654,Yes
INSPR,CANCER,5,0.7558,0.5621,Yes
INSPR,CROSS,5,0.5951,0.3682,Yes
INSPR,DRINKWARE,4,0.9092,0.7193,Yes
INSPR,FIGURINES,4,0.9175,0.7468,Yes
INSPR,GIFT,5,0.9319,0.9197,Yes
INSPR,JEWELRY,8,0.9426,1.0000,Yes
INSPR,MUG,6,0.9003,0.9561,Yes
INSPR,PINKRIBBON,9,0.9081,1.0000,Yes
INSPR,PINS,5,0.9818,0.9964,Yes
INSPR,PLUSH,3,0.8051,0.3241,Yes
INSPR,RELIGIOUS,14,0.9588,0.7703,Yes
INSPR,SOCKS,4,0.9268,0.7791,Yes
INSPR,TOKENS,11,0.7583,1.0000,Yes
INSPR,WILLOWTREE,12,0.9471,0.6237,Yes
KELLILOON,BABY,11,0.9225,1.0000,Yes
KELLILOON,INSPR,3,0.8953,0.5129,Yes
LOGOWEAR,ACCESSORY,11,0.9548,1.0000,Yes
LOGOWEAR,LANYARD,43,0.9709,0.1941,Yes
LOGOWEAR,PLUSH,7,0.9081,0.9965,Yes
LOGOWEAR,SCRUBCAP,16,0.9482,0.4444,Yes
LOGOWEAR,SHERPA,4,0.9959,0.9995,Yes
MENS,ACCESSORY,10,0.9454,1.0000,Yes
MENS,DRINKWARE,13,0.9434,0.5025,Yes
MENS,TOOL,4,0.9569,0.8905,Yes
NURSE,DRINKWARE,10,0.8596,1.0000,Yes
PLUSH,ANIMATED,22,0.9526,0.2763,Yes
PLUSH,LICENSED,26,0.9721,0.7860,Yes
PLUSH,WORLDSOFT,11,0.8095,1.0000,Yes
SEASONAL,EASTER,17,0.9495,0.4253,Yes
SEASONAL,EASTER2026,33,0.9711,0.5215,Yes
SEASONAL,FALL,7,0.9235,0.9983,Yes
SEASONAL,MOTHERSDAY,3,0.7500,0.2571,Yes
SEASONAL,ST. PATS,5,0.8580,0.7534,Yes
SNACKS,BARS,4,0.9575,0.8930,Yes
SNACKS,BOXED,5,0.9133,0.8784,Yes
SNACKS,CAKE,10,0.9458,1.0000,Yes
SNACKS,CRACKERS,16,0.9245,0.1119,Yes
SNACKS,DONUT,6,0.9760,0.9995,Yes
SNACKS,EASTER2026,8,0.9531,1.0000,Yes
SNACKS,ENERGY,10,0.9466,1.0000,Yes
SNACKS,MEATS,15,0.9231,0.1322,Yes
SNACKS,MINTS,22,0.9403,0.0889,Yes
SNACKS,MUFFIN,5,0.9297,0.9148,Yes
SNACKS,PANFINO,3,0.9594,0.7819,Yes
SNACKS,POPCORN,31,0.9563,0.0908,Yes
SNACKS,SUGARFREE,9,0.9046,1.0000,Yes
SNACKS,VALENTINES,13,0.9458,0.5496,Yes
TOYS,BALLS,14,0.9534,0.6564,Yes
TOYS,CARS,17,0.9340,0.1654,Yes
TOYS,COLORING,10,0.9166,1.0000,Yes
TOYS,DOLLS,10,0.9830,1.0000,Yes
TOYS,GAMES,20,0.9340,0.0816,Yes
TOYS,PENS,7,0.8953,0.9943,Yes
WRITING,BXKITTY,3,0.9726,0.8615,Yes
WRITING,COLORING,3,0.9777,0.8942,Yes
WRITING,OFFICESPLY,4,0.9649,0.9204,Yes
WRITING,WRITING,3,0.8704,0.4463,Yes
